0ad a22-3
dbus-x11 1.12.2-1
dcadec 0.2.0-1
dconf 0.26.1-1
dconf-editor 3.26.2-1
dcraw 9.27.0-1
deadbeef 0.7.2-2
debtap 3.1.4-2
deluge 1.3.15+2+g38d7b7cdf-1
desktop-file-utils 0.23-1
device-mapper 2.02.176-1
devilspie 0.23-1
dex 0.8.0-1
dhclient 4.3.6-4
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
dina-font 2.92-6
ding-libs 0.6.0-1
directfb 1.7.7-2
djvulibre 3.5.27-3
dkms 2.4.0-2
dmenu-manjaro 4.6-12
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.78-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
dockbarx 0.92-1
dockmanager 0.1.0-5
docky 2.2.1.1-3
dolphin 17.08.3-1
dolphin-plugins 17.08.3-1
dos2unix 7.4.0-1
dosbox 0.74-7
dosfstools 4.1-1
dotconf 1.3-4
double-conversion 3.0.0-1
doublecmd-qt-svn r7865-1
downgrade 6.0.0-1
dragon 17.08.3-1
dreamchess-git 396.5f6cc6c-1
drkonqi 5.11.4-1
dropbox 39.4.49-1
drun 1.0.3-2
dswitcher-git 10-3
dukto R6-1
dunstify 1.2.0-1
dvd+rw-tools 7.1-7
dvtm 0.15-3
e2fsprogs 1.43.7-1
ebook-tools 0.2.2-4
eclipse-common 4.7.1.a-1
eclipse-cpp 4.7.1.a-1
eclipse-pydev 6.1.0-1
ecryptfs-utils 111-2
editorconfig-core-c 0.12.1-2
efibootmgr 15-1
efitools 1.7.0.5.g0649468-1
efivar 32-1
efl 1.20.6-2
electricsheep 2.7b33-33
elfutils 0.170-1
elinks 0.13-19
emacs 25.3-1
enca 1.19-1
enchant 1.6.1-2
enet 1.3.13-1
engrampa 1.18.3-1
engrampa-thunar-plugin 1.0-2
epplet-base 0.14-2
eric 17.11.1-1
eric-common 17.11.1-1
eric-i18n-en 17.11.1-1
espeak 1.49.0.r696.g96e34565-1
etcher 1.2.0-1
eterm 0.9.6-3
ethtool 1:4.13-1
evilwm 1.1.1-1
evopop-gtk-theme 2.9.99-1
evtest 1.33-3
exempi 2.4.3+2+g65a8492-1
exfat-utils 1.2.7-1
exiv2 0.26-2
exo 0.11.5-1
expac 8-1
expat 2.2.5-1
extra-cmake-modules 5.40.0-1
f26-backgrounds 26.2.7-1
f2fs-tools 1.9.0-1
faac 1.29.7.7-1
faad2 2.8.5-1
fakeroot 1.22-1
falkon-git 2.1.99.r4481.033f7017-1
fbpanel 7.0-2
featherpad-git r228.6cec722-1
feh 2.22.2-1
ffmpeg 1:3.4-4
ffmpeg2.8 2.8.13-2
ffmpegthumbnailer 2.2.0-1
ffmpegthumbs 17.08.3-1
fftw 3.3.7-1
figlet 2.2.5-2
figlet-fonts 1.0-3
file 5.32-1
filelight 17.08.3-1
filesystem 2017.06-4.5
filezilla 3.29.0-1
findimagedupes 2.18-4
findutils 4.6.0-2
firefox 57.0.1-1
firefox-always-nightly 59.0a1.20171202100103-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flam3 3.1.1-1
flashplugin 27.0.0.187-1
flatpak 0.10.1-1
flatpak-builder 0.10.4-1
flex 2.6.4-1
flite 2.0.0-3
fltk 1.3.4-1
fluidsynth 1.1.6-5
fontconfig 2.12.6+5+g665584a-1
fontsproto 2.1.3-2
foomatic-db-engine 4:4.0.12-7
foomatic-db-gutenprint-ppds 5.2.13-1
fortune-mod 1.99.5-1
fpc 3.0.4-1
fpc-src 3.0.4-1
frameworkintegration 5.40.0-1
freealut 1.1.0-5
freeglut 3.0.0-2
freerdp 1:2.0.0_rc0-3
freetype2 2.8.1-1
freshplayerplugin 0.3.7-1
fribidi 0.19.7-1
fsearch-git r387.b2f6e5d-1
ftgl 2.1.3rc5-10
furiusisomount 0.11.3.1-1
fuse-common 3.2.0-1
fuse2 2.9.7-4
fuse3 3.2.0-1
fuseiso 20070708-6
fzf 0.17.1-1
g2sc 0.2-5
galculator 2.1.4-3
gamin 0.1.10-8
garcon 0.6.1-1
gawk 4.2.0-2
gc 7.6.0-1
gcab 0.7+16+g4bc4be1-1
gcalcli 3.4.0-1
gcc-libs-multilib 7.2.0-3
gcc-multilib 7.2.0-3
gconf 3.2.6-5
gconf-sharp 2.24.2-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdb 8.0.1-1
gdb-common 8.0.1-1
gdbm 1.13-1
gdevilspie 0.5-4
gdk-pixbuf 0.22.0-12
gdk-pixbuf2 2.36.11-1
geany 1.32.0-1
geany-plugins 1.32-1
gedit 3.22.1+1+gd21912e3e-1
geeqie 1.3-3
gegl02 0.2.0-7
gendesk 0.6.5-1
geoclue2 2.4.7-1
geoip 1.6.11-1
geoip-database 20171107-1
get_iplayer 3.06-1
gettext 0.19.8.1-2
ghostscript 9.22-1
ghostwriter 1.5.0-2
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
gis-weather 0.8.2.5-1
git 2.15.1-1
gkeyfile-sharp 0.1-4
gksu 2.0.2-6
glee 5.4.0-2
glew 2.1.0-1
glfw-x11 3.2.1-1
glib 1.2.10-14
glib-networking 2.54.1-1
glib-perl 1.324-4
glib2 2.54.2-2
glib2-docs 2.54.2-2
glibc 2.26-6
glibmm 2.54.1-1
gloox 1.0.20-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-2
gmp 6.1.2-1
gmrun 0.9.2-6
gnome-desktop 1:3.26.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring-sharp 1.0.2-6
gnome-menus 3.13.3+29+g7f0844e-1
gnome-menus2 3.0.1-4
gnome-themes-standard 3.22.3+13+ga993fdc0-1
gnu-netcat 0.7.1-6
gnugo 3.8-5
gnupg 2.2.3-1
gnuplot 5.2.2-1
gnutls 3.5.16-1
go 2:1.9.2-2
go-tools 2:1.9+2247+5d2fd3cc-1
gobject-introspection 1.54.1-1
gobject-introspection-runtime 1.54.1-1
google-chrome 62.0.3202.94-1
googler 3.4-1
gparted 0.30.0-3
gpgme 1.9.0-3
gpicview 0.2.5-3
gpm 1.20.7-8
gprename 20160905-1
gpsd 3.16-4
gptfdisk 1.0.3-1
gradio 6.0.2-1
granatier 17.08.3-1
grantlee 5.1.0-1
graphene 1.6.0-1
graphicsmagick 1.3.26-4
graphite 1:1.3.10-1
graphviz 2.40.1-9
grc 1.11.1-3
grep 3.1-1
groff 1.22.3-7
grub 2.02.0-4
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsimplecal 2.1-2
gsl 2.4-1
gsm 1.0.17-1
gspell 1.6.1-1
gssproxy 0.6.2-1
gst-libav 1.12.3+1+ge87c20d-1
gst-plugins-bad 1.12.3-1
gst-plugins-base 1.12.3-1
gst-plugins-base-libs 1.12.3-1
gst-plugins-good 1.12.3-1
gst-plugins-ugly 1.12.3-1
gst-python 1.12.3-1
gst-python2 1.12.3-1
gstreamer 1.12.3-1
gtk 1.2.10-16
gtk-doc 1.26+23+g8ad03e1-1
gtk-engine-murrine 0.98.2-2.2
gtk-engines 2.21.0-3
gtk-sharp-2 2.12.45-1
gtk-update-icon-cache 3.22.26+47+g3a1a7135a2-3
gtk-xfce-engine 2.10.1-1.1
gtk2 2.24.31-1
gtk2-perl 1.2498-7
gtk3 3.22.26+47+g3a1a7135a2-3
gtkd 3.7.2-1
gtkglext 1.2.0-10
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview2 2.10.5-3
gtksourceview3 3.24.5-1
gtkspell 2.0.16-5
gts 0.7.6-3
guake 0.8.11-1
guayadeque 0.4.5-2.1
gufw 17.10.0-1
guile 2.2.2-1
guile2.0 2.0.14-1
gutenprint 5.2.13-1
guvcview 2.0.5-2
gvfs 1.34.1-1
gvim 8.0.1297-1
gwenview 17.08.3-1
gxkb 0.7.9-1
gzip 1.8-2
hardinfo 0.5.1-6
harfbuzz 1.7.1-1
harfbuzz-icu 1.7.1-1
haveged 1.9.1-4
hdparm 9.52-1
hexchat 2.12.4-6
hicolor-icon-theme 0.17-1
hmtimer 2.4.2-2
hollywood 1.7-2
hosts-update 1.37-2
hplip 3.17.10-2
hsetroot 1.0.2-5
hspell 1.3-1
htop 2.0.2-2
http-parser 2.7.1-1
hunspell 1.6.2-1
hunspell-en 2017.01.22-2
hunspell-en_GB 2017.01.22-2
hunspell-en_US 2017.01.22-2
hwids 20171003-1
hwinfo 21.38-1
hwloc 1.11.8-1
hyphen 2.8.8-1
hyphen-en 2.8.8-1
i3-default-artwork 20170225-1
i3-gaps 4.14.1-1
i3-help 20160827-1
i3-scrot 1.1-1
i3bang-git r27.3b939d2-1
i3blocks 1.4-6
i3exit 20170616-1
i3lock 2.9.1-2
i3status-manjaro 2.11-3
iana-etc 20170824-1
ibus 1.5.17-1
ibus-typing-booster 1.5.34-1
icedtea-web 1.7-1
icu 60.1-1
id3lib 3.8.3-16
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.25-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.4.10-1
impressive 0.11.1-1
indicator-kdeconnect-git r465.86add05-1
inetutils 1.9.4-5
iniparser 4.1-1
inkscape 0.92.2-6
inputproto 2.3.2-1
intel-ucode 20171117-1
intltool 0.51.0-3
inxi 2.3.48-1
iotop 0.6-5
ipcalc 0.41-5
iproute2 4.14.1-2
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
ipython 6.2.1-2
irssi 1.0.5-1
iso-codes 3.76-1
iw 4.9-1
j4status-git 409.0b0bef7-1
j4status-plugins-git 71.8f4f085-1
jack 0.125.0-3
jad 1.5.8e-7
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk 9.0.1-1
jdk8-openjdk 8.u144-1
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
joe 4.4-1
john 1.8.0.jumbo1-9
jp2a 1.0.6-3
jq 1.5-5
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
jruby 9.1.14.0-1
js 24.2.0-4
jshon 20131105-1
json-c 0.12.1-1
json-glib 1.4.2-1
jsoncpp 1.8.3-1
jwm 2.3.7-1
jwm-artwork 20160315-1
jwm-documentation 16.06-2
jwm-wallpapers 20160309-1
jwmconf 0.1-1
jwmtools 0.1.78-1
kaccounts-integration 17.08.3-1
kaccounts-providers 17.08.3-1
kactivities 5.40.0-1
kactivities-stats 5.40.0-1
kactivitymanagerd 5.11.4-1
kajongg 17.08.3-1
kalgebra 17.08.3-1
kamera 17.08.3-1
kanagram 17.08.3-1
kapidox 5.40.0-1
kapman 17.08.3-1
kapptemplate 17.08.3-1
karchive 5.40.0-1
kate 17.08.3-1
katomic 17.08.3-1
kauth 5.40.0-1
kbd 2.0.4-1
kblackbox 17.08.3-1
kblocks 17.08.3-1
kbookmarks 5.40.0-1
kbounce 17.08.3-1
kbproto 1.0.7-1
kbreakout 17.08.3-1
kbruch 17.08.3-1
kcachegrind 17.08.3-1
kcalc 17.08.3-1
kcalcore 17.08.3-1
kcharselect 17.08.3-1
kcm-pointing-devices-git r63.8d34a61-1
kcmutils 5.40.0-1
kcodecs 5.40.0-1
kcolorchooser 17.08.3-1
kcompletion 5.40.0-1
kconfig 5.40.0-1
kconfigwidgets 5.40.0-1
kcontacts 17.08.3-1
kcoreaddons 5.40.0-1
kcrash 5.40.0-1
kcron 17.08.3-1
kdb 3.0.2-2
kdbusaddons 5.40.0-1
kde-cli-tools 5.11.4-1
kde-dev-scripts 17.08.3-1
kde-dev-utils 17.08.3-1
kde-gtk-config 5.11.4-1
kde-servicemenus-rootactions 2.9.1-1
kdeaccessibility-jovie 17.08.3-1
kdeaccessibility-kaccessible 17.08.3-1
kdeaccessibility-kmouth 17.08.3-1
kdebase-runtime 17.08.3-1
kdebindings-python 4.14.2-1
kdebindings-python-common 4.14.2-1
kdebindings-python2 4.14.2-1
kdebugsettings 17.08.3-1
kdeclarative 5.40.0-1
kdeconnect-git r1800.e2713f20-1
kdecoration 5.11.4-1
kded 5.40.0-1
kdeedu-data 17.08.3-1
kdegames-kolf 17.08.3-1
kdegames-ksirk 17.08.3-1
kdegames-palapeli 17.08.3-1
kdegraphics-mobipocket 17.08.3-1
kdelibs 4.14.38-1
kdelibs4support 5.40.0-1
kdemultimedia-juk 17.08.3-1
kdemultimedia-kmix 17.08.3-1
kdemultimedia-kscd 17.08.3-1
kdenetwork-filesharing 17.08.3-1
kdenetwork-kget 17.08.3-1
kdenetwork-kppp 17.08.3-1
kdenetwork-zeroconf-ioslave 17.08.3-1
kdenlive 17.08.3-1
kdepimlibs4 4.14.10-11
kdeplasma-addons 5.11.4-1
kdesdk-thumbnailers 17.08.3-1
kdesignerplugin 5.40.0-1
kdesu 5.40.0-1
kdeutils-kremotecontrol 17.08.3-1
kdeutils-sweeper 17.08.3-1
kdevelop 5.2.1-1
kdevelop-python 5.2.1-1
kdewebdev-kfilereplace 17.08.3-1
kdewebdev-kimagemapeditor 17.08.3-1
kdewebdev-klinkstatus 17.08.3-1
kdewebkit 5.40.0-1
kdf 17.08.3-1
kdiagram 2.6.0-1
kdialog 17.08.3-1
kdiamond 17.08.3-1
kdnssd 5.40.0-1
kdoctools 5.40.0-1
keditbookmarks 17.08.3-1
kemoticons 5.40.0-1
kernel-alive 0.2-4
kexi 3.0.2-1
keyutils 1.5.10-1
kfilemetadata 5.40.0-1
kfind 17.08.3-1
kfloppy 17.08.3-1
kfourinline 17.08.3-1
kgamma5 5.11.4-1
kgeography 17.08.3-1
kglobalaccel 5.40.0-1
kgoldrunner 17.08.3-1
kguiaddons 5.40.0-1
khangman 17.08.3-1
khelpcenter 17.08.3-1
kholidays 17.08.3-1
khotkeys 5.11.4-1
khtml 5.40.0-1
ki18n 5.40.0-1
kiconthemes 5.40.0-1
kidletime 5.40.0-1
kig 17.08.3-1
kigo 17.08.3-1
kile 2.9.91-2
killbots 17.08.3-1
kimageformats 5.40.0-1
kinfocenter 5.11.4-1.2
kinit 5.40.0-1
kio 5.40.0-3
kio-extras 17.08.3-1
kio-gdrive 1.2.1-1
kirigami2 5.40.0-1
kiriki 17.08.3-1
kitemmodels 5.40.0-1
kitemviews 5.40.0-1
kiten 17.08.3-1
kjobwidgets 5.40.0-1
kjs 5.40.0-1
kjsembed 5.40.0-1
kjumpingcube 17.08.3-1
kleopatra 17.08.3-1
klettres 17.08.3-1
klickety 17.08.3-1
klines 17.08.3-1
kmag 17.08.3-1
kmahjongg 17.08.3-1
kmenuedit 5.11.4-1
kmime 17.08.3-1
kmines 17.08.3-1
kmod 24-1
kmousetool 17.08.3-1
kmplot 17.08.3-1
knavalbattle 17.08.3-1
knemo 0.7.7.git20151003-2
knetattach 5.11.4-1
knetwalk 17.08.3-1
knewstuff 5.40.0-1
knotifications 5.40.0-1
knotifyconfig 5.40.0-1
kodi 17.5-6
kollision 17.08.3-1
kolourpaint 17.08.3-1
kompare 17.08.3-1
konqueror 17.08.3-1
konquest 17.08.3-1
konsole 17.08.3-1
kotlin 1.1.61-1
kpackage 5.40.0-1
kparts 5.40.0-1
kpatience 17.08.3-1
kpeople 5.40.0-1
kpimtextedit 17.08.3-1
kplotting 5.40.0-1
kproperty 3.0.2-1
kpty 5.40.0-1
kqtquickcharts 17.08.3-1
krb5 1.15.2-1
krdc 17.08.3-1
krename 4.0.9-8
kreport 3.0.2-2
kreversi 17.08.3-1
krfb 17.08.3-1
krita 3.3.2.1-1
kronometer 2.1.5-1
