0ad a22-3
libakonadi-qt4 1.13.0-14
libao 1.2.2-1
libappindicator-gtk2 12.10.0-12
libappindicator-gtk3 12.10.0-12
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.4.3-1
libast 0.7-3
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.8-1
libavc1394 0.5.4-3
libblockdev 2.14-1
libbluray 1.0.1-1
libbsd 0.8.6-1
libburn 1.4.8-1
libbytesize 1.0-1
libc++ 5.0.0-1
libc++abi 5.0.0-1
libc++experimental 5.0.0-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcdaudio 0.99.12.p2-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.94+2-1
libcdr 0.1.4-2
libcec 4.0.2-1
libchamplain 0.12.16-1
libchardet 1.0.5-1
libclc 0.2.0+374+0c31bd5-1
libcmis 0.5.1-7
libconfig 1.7.1-1
libcroco 0.6.12+4+g9ad7287-1
libcue 2.1.0-1
libcups 2.2.6-1
libcurl-compat 7.57.0-1
libcurl-gnutls 7.57.0-1
libcurl-openssl-1.0 7.54.1-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk2 16.04.0-2
libdbusmenu-gtk3 16.04.0-2
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.5-1
libdca 0.0.5-5
libdesktop-agnostic-git 2016.05.02-2
libdiscid 0.6.2-1
libdmtx 0.7.4-6
libdmx 1.1.3-1
libdrm 2.4.88-1
libdv 1.0.0-7
libdvbpsi 1:1.3.1-1
libdvdcss 1.4.0-2
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-8
libebml 1.3.5-1
libechonest 2.3.1-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libetonyek 0.1.7-1
libetpan 1.8-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfakekey 0.1-7
libfbclient 2.5.7.27050-4
libfdk-aac 0.1.5-1
libffi 3.2.1-2
libfilezilla 0.11.1-1
libfm 1.2.5-1
libfm-extra 1.2.5-1
libfm-gtk2 1.2.5-1
libfm-qt 0.12.0-1
libfontenc 1.1.3-1
libfreehand 0.1.2-1
libftdi 1.3-5
libgcrypt 1.8.1-1
libgdiplus 4.2-2
libgee 0.20.0-1
libgexiv2 0.10.6-2
libgit2 1:0.26.0-1
libgksu 2.0.12-8
libglade 2.6.4-5
libglvnd 0.2.999+g4ba53457-3
libgme 0.6.1-1
libgnome-keyring 3.12.0-2
libgnomekbd 3.26.0-1
libgoom2 2k4-3
libgpg-error 1.27-1
libgphoto2 2.5.14+6+g695b55887-1
libgpod 0.8.3-5
libgsf 1.14.42-1
libgtop 2.38.0+1+g487e584a-2
libgudev 232-1
libguess 1.2-1
libgusb 0.2.11-1
libibus 1.5.17-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libieee1284 0.2.11-5
libimobiledevice 1.2.0+66+g5a85432-1
libindi 1.5.0-1
libindicator-gtk2 12.10.1-7
libindicator-gtk3 12.10.1-7
libinput 1.9.3-1
libisoburn 1.4.8-1
libisofs 1.4.8-1
libixion 0.12.2-3
libjpeg-turbo 1.5.2-2
libkate 0.4.1-5
libkcddb 17.08.3-1
libkcompactdisc 17.08.3-1
libkdcraw 17.08.3-1
libkdegames 17.08.3-1
libkdegames4 14.12.3-3
libkeduvocdocument 17.08.3-1
libkexiv2 17.08.3-1
libkeybinder2 0.3.1-1
libkeybinder3 0.3.2-1
libkgapi 17.08.3-1
libkipi 17.08.3-1
libkleo 17.08.3-1
libkmahjongg 17.08.3-1
libkomparediff2 17.08.3-1
libksane 17.08.3-1
libksba 1.3.5-1
libkscreen 5.11.4-1
libksysguard 5.11.4-1
liblangtag 0.6.2-1
liblastfm 1.0.9-2
libldap 2.4.45-4
liblouis 3.3.0-1
liblphobos 1:1.6.0-1
liblqr 0.4.2-1
liblxqt-git 0.12.0-1
libmad 0.15.1b-7
libmariadbclient 10.1.29-1
libmatroska 1.4.8-1
libmbim 1.14.2-1
libmediainfo 17.10-1
libmicrohttpd 0.9.57-1
libmikmod 3.3.11.1-1
libmm-glib 1.6.10-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpd 11.8.17-3
libmpeg2 0.5.1-5
libmspub 0.1.2-8
libmtp 1.1.14-1
libmusicbrainz3 3.0.3-4
libmusicbrainz5 5.1.0-2
libmwaw 0.3.13-1
libmythes 1:1.2.4-2
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnfs 2.0.0-1
libnftnl 1.0.7-1
libnghttp2 1.27.0-1
libnl 3.4.0-1
libnm 1.10.0-1
libnm-glib 1.10.0-1
libnotify 0.7.7-1
libnova 0.15.0-1
libodfgen 0.1.6-1
libofa 0.9.3-7
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
libopenraw 0.1.2-1
liborcus 0.12.1-3
libotf 0.9.13-2
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpeas 1.22.0-1
libpgm 5.2.122-2
libphobos 1:2.077.1-1
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libpng12 1.2.57-3
libproxy 0.4.15-6
libpsl 0.18.0-2
libpulse 11.1-1
libpwquality 1.4.0-1
libqaccessibilityclient 0.2.0-2
libqalculate 2.1.0-2
libqmi 1.18.0-1
libqtxdg-git 3.1.0-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraqm 0.3.0-2
libraw 0.18.5-1
libraw1394 2.1.2-1
libreoffice-extension-languagetool 3.9-1
libreoffice-fresh 5.4.3-4
libreoffice-fresh-en-GB 5.4.3-1
librevenge 0.0.4-1
librsvg 2:2.40.19-1
librtmp0 2.4-2
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsidplayfp 1.8.7-1
libsigc++ 2.10.0-1
libsigsegv 2.11-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.15-1
libsoup 2.60.2-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspeechd 0.8.8-1
libspiro 1:0.5.20150702-1
libspnav 0.2.3-2
libsrtp 1:1.5.4-2
libssh 0.7.5-2
libssh2 1.8.0-2
libstaroffice 0.0.5-1
libstdc++5 3.3.6-5
libstemmer 0+337-2
libsynaptics 0.14.6c-7
libsynctex 2017.44590-9
libsystemd 235.38-2
libtar 1.2.20-3
libtasn1 4.12-2
libteam 1.27-1
libtermkey 0.20-1
libthai 0.1.27-1
libtheora 1.1.1-3
libtiff 4.0.9-1
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-1
libtorrent-rasterbar 1:1.1.5-1
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.7-1
libunrar 1:5.5.8-1
libunwind 1.2.1-1
libupnp 1.6.22-1
libusb 1.0.21-2
libusb-compat 0.1.5-1
libusbmuxd 1.0.10+13+gc724e70-1
libuser 0.62-1
libutempter 1.1.6-2
libutil-linux 2.31-2
libuv 1.18.0-1
libva 2.0.0-2
libva-intel-driver 2.0.0-2
libva-mesa-driver 17.2.6-0
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-2
libvisual 0.4.0-6
libvncserver 0.9.11-2
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.26-1
libwbclient 4.7.3-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwnck 2.31.0-1
libwnck3 3.24.1-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.8-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libx264-all 2:148.20170521-1
libx86emu 1.12-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomp 3.5.0.33-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxnvctrl 387.34-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86misc 1.0.3-2
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzen 0.4.37-1
libzip 1.3.0-1
libzmf 0.0.2-2
licenses 20171006-1
light-locker 1.8.0-1
lightdm 1:1.24.0-1
lightdm-gtk-greeter 1:2.0.3-1
lightdm-gtk-greeter-settings 1.2.2-1
lilv 0.22.0-2
lilyterm 0.9.9.2-2
limepanel 0.30.r110.g1786325-1
links-g-directfb 2.14-1
linux-api-headers 4.12.7-1
linux-firmware 20171009.bf04291-1
linux412 4.12.14-1
linux412-headers 4.12.14-1
linux413 4.13.16-2
linux413-headers 4.13.16-2
linux414 4.14.3-1
linux414-headers 4.14.3-1
linux414-r8168 8.044.02-3
linux415 4.15.r171130.g9e0600f-1
linux415-headers 4.15.r171130.g9e0600f-1
linux44 4.4.103-1
linux44-headers 4.4.103-1
linux44-ndiswrapper 1.61-38
linux44-r8168 8.044.02-24
linux49 4.9.66-1
linux49-headers 4.9.66-1
linux49-ndiswrapper 1.61-50
linux49-r8168 8.044.02-32
liquidshell 0.a1.r65.87b14e3-1
lirc 1:0.9.4.d-1
liteide 33-3
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
lmdb 0.9.21-1
lmms 1.1.3-4
localepurge 0.7.3.4-2
lockdev 1.0.3_1.6-4
logrotate 3.12.3-1
lokalize 17.08.3-1
lolcat 90.8.8-1
lostfiles 3.26-1
lpsolve 5.5.2.5-2
lsb-release 1.4-12
lshw B.02.18-2
lskat 17.08.3-1
lsof 4.89-1
lua 5.3.4-2
lua-filesystem 1.7.0.2-1
lua-lgi 0.9.2-1
lua-lub 1.1.0-1
lua-yaml 1.1.2-1
lua51 5.1.5-6
lua51-filesystem 1.7.0.2-1
lua52 5.2.4-2
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lua53bind 0.9.1-6
luajit 2.0.5-1
luakit-git 2017.08.10.r191.gf52aced4-1
lv2 1.14.0-2
lvm2 2.02.176-1
lxappearance 0.6.3-1
lxappearance-obconf 0.2.3-1
lxde-common 0.99.2-1
lxde-icon-theme 0.5.1-3
lxdm 0.5.3-4
lxhotkey 0.1.0-1
lximage-qt 0.6.0-1
lxinput 0.3.5-1
lxlauncher 0.2.5-2
lxmenu-data 0.1.5-1
lxmusic 0.4.7-1
lxpanel 0.9.3-1
lxqt-about 0.12.0-1
lxqt-admin 0.12.0-1
lxqt-config 0.12.0-2
lxqt-globalkeys 0.12.0-1
lxqt-notificationd 0.12.0-1
lxqt-openssh-askpass 0.12.0-1
lxqt-panel 0.12.0-1
lxqt-policykit 0.12.0-1
lxqt-powermanagement 0.12.0-1
lxqt-runner 0.12.0-1
lxqt-session 0.12.0-1
lxqt-sudo 0.12.0-1
lxqt-themes 0.12.0-2
lxrandr 0.3.1-1
lxsession 1:0.5.3-1
lxtask 0.1.8-1
lxterminal 0.3.1-1
lynis 2.5.7-1
lynx 2.8.8-5
lz4 1:1.8.0-1
lzo 2.10-1
lzop 1.04-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
maelstrom 3.0.6-4
maia-icon-theme 1.2-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.14-1
manj-grub 1.2-3
manjaro-alsa 2012.11-1
manjaro-backgrounds 20161208-1
manjaro-base-skel 20171029-3
manjaro-bspwm-settings 20171123-1
manjaro-documentation-en 20171125-1
manjaro-firmware 20160419-1
manjaro-hello 0.5.10-1
manjaro-icons 20170701-1
manjaro-keyring 20171027-1
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 17.1pre3-1
manjaro-settings-manager 0.5.4-4
manjaro-settings-manager-notifier 0.5.4-4
manjaro-settings-samba 20171115-1
manjaro-system 20170915-1
manuskript-git 20171031_b4427fb-1
marble 17.08.3-2
marble-common 17.08.3-2
mathjax 2.7.2-1
mc 4.8.20-1
mcomix 1.2.1-3
md5 2.3-1
mdadm 4.0-1
media-player-info 22-2
mediainfo 17.10-1
medit 1.2.0-3
megasync 3.5-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
menugenerator 0.4-5
menulibre 2.1.3-2
mesa 17.2.6-0
mesa-demos 8.3.0-4
mesa-vdpau 17.2.6-0
meson 0.41.2-2
meteo-qt-git 0.9.7.2.g83245a9-1
mhwd 0.6.0-2
mhwd-amdgpu 1.2.0-2
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-1
mhwd-db 0.6.0-1
mhwd-nvidia 1:384.98-1
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.104-1
mhwd-tui 0.4-1
micro-git v1.3.4.5fc8f84-1
milou 5.10.3-1
mimetic 0.9.8-1
miniupnpc 2.0.20170509-2
minizip 1:1.2.11-2
minuet 17.08.3-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mkinitcpio-nfs-utils 0.3-5.3
mlocate 0.26-6
mlt 6.4.1-8
mobile-broadband-provider-info 20170310-1
moc 1:2.5.2-1
modemmanager 1.6.10-1
modemmanager-qt 5.40.0-1
mono 5.0.0.100-2
mono-addins 1.1-1
morc_menu 0.1-3
moreutils 0.61-1
mousepad 0.4.0-3
mozilla-common 1.4-4
mpfr 3.1.6.p1-1
mpg123 1.25.7-1
mplayer 37998-1
mpv 1:0.27.0-4
msgpack-c 2.1.5-1
mtdev 1.1.5-1
mtpfs 1.1-2
mugshot 0.3.2-1
muparser 2.2.5-2
mutagen 1.39-1
mxml 2.10-1
mygtkmenu 1.3-6
mygtkmenui r23.g505c53a-3
mysql-python 1.2.5-1
mythes-en 20060306-3
nano 2.9.1-1
nbd 3.16.2-2
ncurses 6.0+20170902-3
ndiswrapper-utils 1.61-34
neofetch 3.3.0-1
neon 0.30.2-2
neovim 0.2.2-1
neovim-qt-git v0.2.8.r16.g0551ef2-1
net-snmp 5.7.3-7
net-tools 1.60.20160710git-1
netactview 0.6.4-4
netctl 1.14-1
nethogs 0.8.5-2
nettle 3.4-1
network-manager-applet 1.8.7dev+3+g3d7c0a89-1
networkmanager 1.10.0-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-dmenu r80.eefd2c3-1
networkmanager-openconnect 1.2.4-2
networkmanager-openvpn 1.8.1dev+10+ge4d8cda-1
networkmanager-pptp 1.2.4-2
networkmanager-qt 5.40.0-1
networkmanager-vpnc 1.2.4-2
newsboat 2.10.1-1
nfs-utils 2.1.1-4
nfsidmap 0.26-1
nilfs-utils 2.2.6-1
ninja 1.8.2-1
ninja-ide 2.3-4
nitrogen 1.6.1-1
nm-connection-editor 1.8.7dev+3+g3d7c0a89-1
nmap 7.60-1
nmon 16g-1
nodejs 9.2.0-1
nodejs-emojione 3.1.2-1
notepadqq 1.2.0-1
notify-send.sh 0.2-1
notify-sharp 0.4.1-2
noto-fonts 20171025-2
noto-fonts-emoji 20170825-2
npm 5.5.1-2
npth 1.5-1
nspr 4.17-1
nss 3.34.1-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
nuitka 0.5.28.1-1
numactl 2.0.11-1
numix-manjaro-borders 1.0.1-1
numix-manjaro-themes 20150610-2
numlockx 1.2-3
nxproxy 3.5.0.33-1
obconf 2.0.4-4
obconf-qt 0.12.0-1
obkey 1.0.11.gf599e29-1
oblogout 0.2-18
ocl-icd 2.2.11-1
octopi 0.8.9-1
oh-my-zsh-git r4344.d6ccb41d0-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
okteta 17.08.3-1
okular 17.08.3-1
oniguruma 6.6.1-1
onlyoffice-bin 4.4.1-338
open-fuse-iso 1.1-1
openal 1.18.2-1
openbox 3.6.1-3
opencl-mesa 17.2.6-0
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openmpi 2.1.1-2
openra 20171014-1
openresolv 3.9.0-1
openslp 2.0.0-2
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.l-1
openvpn 2.4.4-1
openvpn-protonvpn 20170620-1
opera 49.0.2725.39-1
optipng 0.7.6-2
opus 1.2.1-1
opusfile 0.10-1
orage 4.12.1-3
orc 0.4.28-1
os-prober 1.76-1
ostree 2017.13-1
oxygen 5.11.4-1
oxygen-icons 1:5.40.0-1
p11-kit 0.23.9-1
p7zip 16.02-3
p8-platform 2.1.0.1-1
pa-applet 1.0.2-2
pacaur 4.7.10-1
package-query 1.9-1
packagekit 1.1.7-1.1
packagekit-qt5 0.9.6-1
pacli 0.10-3
pacman 5.0.2-2
pacman-mirrors 4.6-1
pacui 1.8-1
palemoon-bin 27.6.2-1
palemoon-i18n-en-gb 27.6.0-1
pam 1.3.0-1
pamac 6.2.2-2
pambase 20171006-1
pango 1.40.14-1
pango-perl 1.227-8
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
paper-icon-theme-git 746.04115106-1
papirus-libreoffice-theme-git 20170915-1
parted 3.2-6
pass 1.7.1-1
pastebinit 1.5-1
patch 2.7.5-1
pavucontrol 3.0-4
pbget 2017.7-1
pcaudiolib r34.af7edad-1
pciutils 3.5.6-1
pcmanfm 1.2.5-2
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsclite 1.8.22-1
pcurses 4-5
pdfjs 1.9.426-2
peek 1.2.0-1
peksystray 0.4.0-6
penguin-command 1.6.11-3
pepper-flash 27.0.0.187-1
perl 5.26.1-1
perl-anyevent 4:7.14-3
perl-anyevent-i3 0.17-2
perl-canary-stability 2012-3
perl-clone 0.39-4
perl-common-sense 3.74-3
perl-curses 1.36-4
perl-dbi 1.637-3
perl-encode-locale 1.05-3
perl-error 0.17025-2
perl-file-basedir 0.07-3
perl-file-desktopentry 0.22-3
perl-file-listing 6.04-4
perl-file-mimeinfo 0.28-3
perl-file-sharedir-install 0.11-3
perl-html-parser 3.72-5
perl-html-tagset 3.20-6
perl-http-cookies 6.04-2
perl-http-daemon 6.01-5
perl-http-date 6.02-4
perl-http-message 6.13-2
perl-http-negotiate 6.01-4
perl-inline 0.80-2
perl-inline-c 0.78-1
perl-io-html 1.001-3
perl-io-socket-ssl 2.048-3
perl-io-tty 1.12-6
perl-ipc-run 0.96-1
perl-ipc-system-simple 1.25-3
perl-json-xs 3.03-4
perl-libintl-perl 1.29-1
perl-libwww 6.26-3
perl-locale-gettext 1.07-5
perl-lwp-mediatypes 6.02-4
perl-lwp-protocol-https 6.06-4
perl-net-http 6.17-1
perl-net-ssleay 1.81-4
perl-parse-recdescent 1.967013-2
perl-parse-yapp 1.05-8
perl-pegex 0.63-3
perl-term-animation 2.6-4
perl-term-extendedcolor 0.224-5
perl-term-extendedcolor-xresources 0.072-1
perl-term-readkey 2.37-4
perl-time-duration 1:1.20-2
perl-timedate 2.30-4
perl-try-tiny 0.28-3
perl-types-serialiser 1.0-3
perl-uri 1.72-2
perl-www-robotrules 6.02-4
perl-xml-libxml 2.0129-4
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-6
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
perl-yaml-libyaml 0.64-4
phonon-qt4 4.9.1-4
phonon-qt4-gstreamer 4.9.0-3
phonon-qt5 4.9.1-4
phonon-qt5-gstreamer 4.9.0-3
physfs 3.0.0-2
picmi 17.08.3-1
pinentry 1.0.0-1
pinta 1.6-2
pix 1.6.1-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
pkgbrowser 0.20.1-2
pkgcacheclean 1.8.2-3
pkgfile 17-1
plank 0.11.4-1
plasma-desktop 5.11.4-1
plasma-framework 5.40.0-1
plasma-gpg-agent 5.5-2
plasma-integration 5.11.4-1
plasma-nm 5.11.4-1
plasma-pa 5.11.4-1
plasma-sdk 5.11.4-1
plasma-ssh-agent 5.5-2
plasma-wayland-session 5.11.4-1
plasma-workspace 5.11.4-1
plasma-workspace-wallpapers 5.11.4-1
plasma5-applets-redshift-control 1.0.18-1
plasma5-themes-breath 0.3.0-1
plasma5-themes-maia 1.2-1
plex-media-player 2.1.1-1
plex-media-server 1.9.7.4460-1
pm2ml 2017.11-1
pmenu 0.3.2-1
podofo 0.9.5-2
polkit 0.113+29+g3272a98-1
polkit-gnome 0.105-3
polkit-kde-agent 5.11.4-1
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
ponysay 3.0.3-1
poppler 0.61.1-1
poppler-data 0.4.8-1
poppler-glib 0.61.1-1
poppler-qt5 0.61.1-1
popt 1.16-9
portaudio 190600_20161030-1
portmidi 217-5
portsmf 228-2
postgresql 10.1-1
postgresql-libs 10.1-1
potrace 1.14-1
powerdevil 5.11.4-1
powerline 2.6-1
powerline-common 2.6-1
powerpill 2017.11-1
powertop 2.9-1
poxml 17.08.3-1
ppp 2.4.7-4
pptpclient 1.9.0-1
preload 0.6.4-1
print-manager 17.08.3-1
printproto 1.0.5-3
prison 5.40.0-1
privoxy 3.0.26-2
procps-ng 3.3.12-1
progsreiserfs 0.3.0.5-8
projectm 2.1.0-17
protobuf 3.4.1-1
ps_mem 3.9-1
psensor 1.2.0-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pulseaudio-ctl 1.66-1
pulseaudio-gconf 11.1-1
pulseaudio-zeroconf 11.1-1
pulseeffects 3.0.9-1
purpose 1.2.1-1
pv 1.6.6-1
pyalpm 0.8.2-2
pydocstyle 2.1.1-1
pygmentize 2.2.0-1
pygobject-devel 3.26.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
pygtksourceview2 2.10.1-5
pypanel 2.4-9
pyqt4-common 4.12.1-1
pyqt5-common 5.9.2-1
python 3.6.3-1
python-appdirs 1.4.3-1
python-arrow 0.10.0-1
python-asn1crypto 0.23.0-1
python-astroid 1.5.3-1
python-attrs 17.3.0-1
python-automat 0.6.0-1
python-axolotl 0.1.39-2
python-axolotl-curve25519 0.1-2
python-babel 2.5.1-1
python-beaker 1.8.1-2
python-beautifulsoup4 4.6.0-1
python-bottleneck 1.2.1-1
python-cairo 1.15.4-1
python-cffi 1.11.2-1
python-chardet 3.0.4-1
python-click 6.7-1
python-constantly 15.1.0-2
python-crypto 2.6.1-5
python-cryptography 2.1.4-1
python-cx_freeze 5.0.2-1
python-cycler 0.10.0-2
python-dateutil 2.6.1-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-decorator 4.1.2-1
python-dill 0.2.7.1-1
python-distro 1.0.4-2
python-distutils-extra 2.39-2
python-django 1.11.2-1
python-docopt 0.6.2-4
python-docutils 0.14-1
python-easygui 0.98.0-1
python-ewmh 0.1.6-1
python-feedparser 5.2.1-2
python-future 0.16.0-2
python-gobject 3.26.1-1
python-gobject2 2.28.6-13
python-greenlet 0.4.12-1
python-httplib2 0.10.3-1
python-hyperlink 17.3.1-1
python-i3-py 0.6.5-4
python-idna 2.6-1
python-imagesize 0.7.1-2
python-incremental 17.5.0-1
python-isort 4.2.15-1
python-jedi 0.11.0-2
python-jinja 2.10-1
python-json-rpc 1.10.8-1
python-keyring 10.5.0-1
python-keyrings-alt 1:2.3-1
python-kivy 1.10.0-1
python-language-server 0.11.1-2
python-lazy-object-proxy 1.3.1-1
python-lxml 4.1.1-1
python-mako 1.0.7-1
python-markdown 2.6.9-1
python-markups 2.0.1-1
python-markupsafe 1.0-1
python-matplotlib 2.1.0-1
python-mccabe 0.6.1-1
python-msgpack 0.4.8-2
python-mysql-connector 2.1.7-1
python-neovim 0.2.0-1
python-nose 1.3.7-3
python-npyscreen 4.10.5-1
python-numpy 1.13.3-1
python-oauthlib 2.0.6-1
python-olefile 0.44-1
python-packaging 16.8-2
python-pandas 0.21.0-1
python-pandas-datareader 0.5.0-1
python-parso 0.1.1-1
python-pathtools 0.1.2-3
python-pexpect 4.3.0-1
python-pickleshare 0.7.4-3
python-pillow 4.3.0-1
python-pip 9.0.1-3
python-pkgconfig 1.2.2-2
python-pluggy 0.6.0-2
python-ply 3.10-1
python-powerline 2.6-1
python-prompt_toolkit 1.0.15-1
python-protobuf 3.4.1-1
python-psutil 5.4.1-1
python-psycopg2 2.7.3.2-1
python-ptyprocess 0.5.2-1
python-pyaudio 0.2.11-1
python-pyautogui 0.9.36-1
python-pycodestyle 2.3.1-1
python-pycparser 2.18-1
python-pycups 1.9.73-3
python-pycurl 7.43.0-3
python-pyenchant 1.6.11-1
python-pyfiglet 0.7.4-1
python-pyflakes 1.6.0-1
python-pyftpdlib 1.5.3-1
python-pygments 2.2.0-1
python-pyinotify 0.9.6-3
python-pykf5 0-1
python-pylint 1.7.4-1
python-pymsgbox 1.0.3-1
python-pyparsing 2.2.0-1
python-pyqt4 4.12.1-1
python-pyqt5 5.9.2-1
python-pyscreeze 0.1.8-2
python-pyside 1.2.4-6
python-pyside-common 1.2.4-6
python-pysocks-git 20170918-1
python-pytweening 1.0.3-1
python-pytz 2017.3-1
python-qscintilla-qt4 2.10.2-1
python-qscintilla-qt4-common 2.10.2-1
python-qscintilla-qt5 2.10.2-1
python-qscintilla-qt5-common 2.10.2-1
python-requests 2.18.4-1
python-requests-file 1.4.2-1
python-requests-ftp 0.3.1-1
python-requests-oauthlib 0.8.0-1
python-rope 0.10.7-1
python-scipy 1.0.0-1
python-secretstorage 2.3.1-3
python-setproctitle 1.1.10-2
python-setuptools 1:38.2.3-1
python-sgmllib 5.2.1-2
python-shiboken 1.2.4-3
python-sip 4.19.6-1
python-six 1.11.0-1
python-snowballstemmer 1.2.1-2
python-sphinx 1.6.5-1
python-sphinx-alabaster-theme 0.7.10-1
python-sphinx_rtd_theme 0.2.4-1
python-sphinxcontrib-websupport 1.0.1-1
python-sqlalchemy 1.1.15-1
python-traitlets 4.3.2-1
python-twisted 17.9.0-1
python-twitter 1.18.0-1
python-unidecode 0.04.21-1
python-urllib3 1.22-1
python-urwid 1.3.1-3
python-wcwidth 0.1.7-2
python-wheel 0.29.0-2
python-whoosh 2.7.4-2
python-wrapt 1.10.11-1
